Name,Material Type,Bend,Twist,Bend Moment (Nmm),Twist Moment (Nmm),Scale Factor
D56,Neoprene Rubber,0.000833577553526,0.000956573642007,2.12264150943e-09,2.12264150943e-08,0.5
D56,"Plastic, PET (amorphous)",0.0847316782949,0.141906278032,0.00205188679245,0.0205188679245,0.5
D56,"Aluminum alloy, wrought, 6061, T6",0.301264249683,0.219532565229,0.048820754717,0.48820754717,0.5
D56,"Carbon steel, 1095, hardened & tempered",0.595661864734,0.22399101123,0.15,1.5,0.5
D56,Neoprene Rubber,0.00024379502821,0.000277992612696,2.12264150943e-09,2.12264150943e-08,0.75
D56,"Plastic, PET (amorphous)",0.0316308795207,0.0557116819401,0.00205188679245,0.0205188679245,0.75
D56,"Aluminum alloy, wrought, 6061, T6",0.180518457988,0.0683381904203,0.048820754717,0.48820754717,0.75
D56,"Carbon steel, 1095, hardened & tempered",0.308409054442,0.0687299924827,0.15,1.5,0.75
D56,Neoprene Rubber,0.000108240021368,0.000120916786965,2.12264150943e-09,2.12264150943e-08,1
D56,"Plastic, PET (amorphous)",0.0178574211958,0.0269451963273,0.00205188679245,0.0205188679245,1
D56,"Aluminum alloy, wrought, 6061, T6",0.116673518186,0.0304385312629,0.048820754717,0.48820754717,1
D56,"Carbon steel, 1095, hardened & tempered",0.169343961681,0.0304519681926,0.15,1.5,1
D56,Neoprene Rubber,5.51620291993e-05,6.29096055518e-05,2.12264150943e-09,2.12264150943e-08,1.25
D56,"Plastic, PET (amorphous)",0.0121289260309,0.0147840545153,0.00205188679245,0.0205188679245,1.25
D56,"Aluminum alloy, wrought, 6061, T6",0.0747901645351,0.0160060330542,0.048820754717,0.48820754717,1.25
D56,"Carbon steel, 1095, hardened & tempered",0.0966676473129,0.0159710183295,0.15,1.5,1.25
D56,Neoprene Rubber,3.47360588057e-05,3.71766990167e-05,2.12264150943e-09,2.12264150943e-08,1.5
D56,"Plastic, PET (amorphous)",0.00907183274297,0.00884464724426,0.00205188679245,0.0205188679245,1.5
D56,"Aluminum alloy, wrought, 6061, T6",0.049222902177,0.00937622639323,0.048820754717,0.48820754717,1.5
D56,"Carbon steel, 1095, hardened & tempered",0.0594281619573,0.00934606166984,0.15,1.5,1.5
D56,Neoprene Rubber,2.21059741843e-05,2.37558159353e-05,2.12264150943e-09,2.12264150943e-08,1.75
D56,"Plastic, PET (amorphous)",0.00714838076956,0.00575448148336,0.00205188679245,0.0205188679245,1.75
D56,"Aluminum alloy, wrought, 6061, T6",0.033464291725,0.00603390308824,0.048820754717,0.48820754717,1.75
D56,"Carbon steel, 1095, hardened & tempered",0.0387341361853,0.00600957637566,0.15,1.5,1.75
D56,Neoprene Rubber,1.61963427773e-05,1.6114265943e-05,2.12264150943e-09,2.12264150943e-08,2
D56,"Plastic, PET (amorphous)",0.00578639752662,0.00393752901781,0.00205188679245,0.0205188679245,2
D56,"Aluminum alloy, wrought, 6061, T6",0.0234482161785,0.00409339982104,0.048820754717,0.48820754717,2
D56,"Carbon steel, 1095, hardened & tempered",0.0264400841614,0.00407126132032,0.15,1.5,2
D56,Neoprene Rubber,0.000118644860066,0.000147807947091,2.65330188679e-10,2.65330188679e-09,0.5
D56,"Plastic, PET (amorphous)",0.0220731970459,0.0232789572206,0.000256485849057,0.00256485849057,0.5
D56,"Aluminum alloy, wrought, 6061, T6",0.0875724767006,0.0276223138675,0.00610259433962,0.0610259433962,0.5
D56,"Carbon steel, 1095, hardened & tempered",0.0875724767006,0.0276223138675,0.01875,0.1875,0.5
D56,Neoprene Rubber,0.000118642945015,0.000148079662742,2.65330188679e-10,2.65330188679e-09,0.5
D56,"Plastic, PET (amorphous)",0.0221045498821,0.0233023292742,0.000256485849057,0.00256485849057,0.5
D56,"Aluminum alloy, wrought, 6061, T6",0.0877027638931,0.0277349086021,0.00610259433962,0.0610259433962,0.5
D56,"Carbon steel, 1095, hardened & tempered",0.120897870126,0.02793983262,0.01875,0.1875,0.5
D56,Neoprene Rubber,0.000118479735844,0.000146495317009,8.95489386792e-10,8.95489386792e-09,0.75
D56,"Plastic, PET (amorphous)",0.0235440005769,0.0263099970721,0.000865639740566,0.00865639740566,0.75
D56,"Aluminum alloy, wrought, 6061, T6",0.115069530969,0.0291952300606,0.0205962558962,0.205962558962,0.75
D56,"Carbon steel, 1095, hardened & tempered",0.157936185066,0.0292394028416,0.06328125,0.6328125,0.75
D56,Neoprene Rubber,0.000127790553296,0.000152900899177,2.12264150943e-09,2.12264150943e-08,1
D56,"Plastic, PET (amorphous)",0.0276885146756,0.0285408692567,0.00205188679245,0.0205188679245,1
D56,"Aluminum alloy, wrought, 6061, T6",0.146005071885,0.0305882151253,0.048820754717,0.48820754717,1
D56,"Carbon steel, 1095, hardened & tempered",0.186459655349,0.0305278239801,0.15,1.5,1
D56,Neoprene Rubber,0.000126263919618,0.00015509277177,4.14578419811e-09,4.14578419811e-08,1.25
D56,"Plastic, PET (amorphous)",0.0320593538292,0.0296808371673,0.00400759139151,0.0400759139151,1.25
D56,"Aluminum alloy, wrought, 6061, T6",0.165824666691,0.0312195240408,0.0953530365566,0.953530365566,1.25
D56,"Carbon steel, 1095, hardened & tempered",0.198865439997,0.0311178282604,0.29296875,2.9296875,1.25
D56,Neoprene Rubber,0.00013483289615,0.000160885225232,7.16391509434e-09,7.16391509434e-08,1.5
D56,"Plastic, PET (amorphous)",0.0376657118382,0.0303644230434,0.00692511792453,0.0692511792453,1.5
D56,"Aluminum alloy, wrought, 6061, T6",0.179732025739,0.0316308228248,0.16477004717,1.64770047170,1.5
D56,"Carbon steel, 1095, hardened & tempered",0.206882574638,0.031503013577,0.50625,5.0625,1.5
D56,Neoprene Rubber,0.000136405425894,0.000159312682461,1.13760318396e-08,1.13760318396e-07,1.75
D56,"Plastic, PET (amorphous)",0.0444774148077,0.0311980896532,0.0109968307783,0.109968307783,1.75
D56,"Aluminum alloy, wrought, 6061, T6",0.189512616506,0.0323371637696,0.261648732311,2.61648732311,1.75
D56,"Carbon steel, 1095, hardened & tempered",0.21227267445,0.03218859715,0.80390625,8.0390625,1.75
D56,Neoprene Rubber,0.000145421182321,0.000164178499179,1.69811320755e-08,1.69811320755e-07,2
D56,"Plastic, PET (amorphous)",0.0516531288404,0.0317772716856,0.0164150943396,0.164150943396,2
D56,"Aluminum alloy, wrought, 6061, T6",0.195614683498,0.0327815996432,0.390566037736,3.90566037736,2
D56,"Carbon steel, 1095, hardened & tempered",0.215408171507,0.0325946298848,1.2,12.0,2
