Time,Torque,Rotation
(s),(N-mm),(deg)
0,-3.374,-1.9989
0.02,-3.3371,-1.9989
0.04,-3.3072,-1.9989
0.06,-3.2944,-1.9989
0.08,-3.2877,-1.9989
0.1,-3.3037,-1.9989
0.12,-3.3196,-1.9989
0.14,-3.3313,-1.9989
0.16,-3.3321,-1.9993
0.18,-3.3235,-2.0005
0.2,-3.3214,-2.0026
0.22,-3.3083,-2.0056
0.24,-3.2853,-2.0094
0.26,-3.2763,-2.0141
0.28,-3.2833,-2.02
0.3,-3.3118,-2.0271
0.32,-3.351,-2.0349
0.34,-3.3833,-2.0425
0.36,-3.4204,-2.0493
0.38,-3.4249,-2.0553
0.4,-3.4199,-2.0608
0.42,-3.4102,-2.0661
0.44,-3.4178,-2.0714
0.46,-3.4222,-2.0767
0.48,-3.4205,-2.0821
0.5,-3.4539,-2.0876
0.52,-3.4839,-2.0932
0.54,-3.514,-2.0986
0.56,-3.5243,-2.1039
0.58,-3.5362,-2.109
0.6,-3.5385,-2.114
0.62,-3.5316,-2.1189
0.64,-3.5435,-2.1237
0.66,-3.5402,-2.1284
0.68,-3.5485,-2.133
0.7,-3.5729,-2.1377
0.72,-3.6171,-2.1425
0.74,-3.6325,-2.1473
0.76,-3.6352,-2.1522
0.78,-3.6377,-2.1571
0.8,-3.6396,-2.162
0.82,-3.6539,-2.1669
0.84,-3.6396,-2.1718
0.86,-3.635,-2.1766
0.88,-3.6539,-2.1814
0.9,-3.6699,-2.1863
0.92,-3.7009,-2.191
0.94,-3.7237,-2.1958
0.96,-3.7305,-2.2004
0.98,-3.7388,-2.2051
1,-3.7384,-2.2098
1.02,-3.7472,-2.2145
1.04,-3.7578,-2.2193
1.06,-3.7593,-2.2241
1.08,-3.7747,-2.2289
1.1,-3.797,-2.2336
1.12,-3.8076,-2.2384
1.14,-3.8271,-2.2431
1.16,-3.8575,-2.2479
1.18,-3.866,-2.2528
1.2,-3.863,-2.2577
1.22,-3.8696,-2.2628
1.24,-3.8696,-2.2678
1.26,-3.8669,-2.2729
1.28,-3.8772,-2.278
1.3,-3.894,-2.2832
1.32,-3.9228,-2.2883
1.34,-3.9577,-2.2936
1.36,-3.9751,-2.2988
1.38,-3.9645,-2.304
1.4,-3.9751,-2.3093
1.42,-3.9786,-2.3146
1.44,-3.9783,-2.32
1.46,-3.9835,-2.3255
1.48,-4.0085,-2.3309
1.5,-4.0433,-2.3363
1.52,-4.0623,-2.3417
1.54,-4.0649,-2.3471
1.56,-4.0908,-2.3524
1.58,-4.0957,-2.3577
1.6,-4.0914,-2.363
1.62,-4.1116,-2.3681
1.64,-4.1145,-2.3733
1.66,-4.1107,-2.3784
1.68,-4.1176,-2.3836
1.7,-4.1332,-2.3888
1.72,-4.1521,-2.394
1.74,-4.1807,-2.3992
1.76,-4.2021,-2.4044
1.78,-4.2147,-2.4095
1.8,-4.2233,-2.4146
1.82,-4.2242,-2.4197
1.84,-4.23,-2.4248
1.86,-4.2444,-2.43
1.88,-4.2627,-2.4352
1.9,-4.2822,-2.4402
1.92,-4.2868,-2.4452
1.94,-4.2915,-2.4502
1.96,-4.3086,-2.4551
1.98,-4.3278,-2.4602
2,-4.3265,-2.4652
2.02,-4.331,-2.4702
2.04,-4.336,-2.4753
2.06,-4.3502,-2.4803
2.08,-4.37,-2.4853
2.1,-4.3897,-2.4903
2.12,-4.4041,-2.4951
2.14,-4.3995,-2.5
2.16,-4.4164,-2.5048
2.18,-4.4469,-2.5095
2.2,-4.4518,-2.5141
