Time,Displacement,Force,Rotation,Torque
0,1.6502,0.0002,-0.0009,-0.00007
0.02,1.6502,0.0002,-0.0009,-0.00006
0.04,1.6502,0.0002,-0.0009,-0.00006
0.06,1.6502,0.0002,-0.0009,-0.00006
0.08,1.6502,0.0002,-0.0009,-0.00006
0.1,1.6502,0.0002,-0.0009,-0.00007
0.12,1.6502,0.0002,-0.0009,-0.00008
0.14,1.6502,0.0002,-0.0009,-0.00007
0.16,1.6502,0.0002,-0.0006,-0.00007
0.18,1.6502,0.0002,0.0009,-0.00006
0.2,1.6502,0.0002,0.0124,-0.00006
0.22,1.6502,0.0002,0.0349,-0.00005
0.24,1.6502,0.0002,0.0579,-0.00004
0.26,1.6502,0.0002,0.0801,-0.00003
0.28,1.6502,0.0002,0.1025,-0.00003
0.3,1.6502,0.0002,0.1261,-0.00003
0.32,1.6502,0.0002,0.1507,-0.00002
0.34,1.6502,0.0002,0.1752,-0.00002
0.36,1.6502,0.0002,0.1989,-0.00003
0.38,1.6502,0.0002,0.2216,-0.00002
0.4,1.6502,0.0002,0.2436,-0.00001
0.42,1.6502,0.0002,0.2656,-0.00001
0.44,1.6502,0.0002,0.2873,-0.00001
0.46,1.6502,0.0002,0.3082,-0.00002
0.48,1.6502,0.0002,0.3277,-0.00002
0.5,1.6502,0.0002,0.3464,-0.00002
0.52,1.6502,0.0002,0.3644,-0.00002
0.54,1.6502,0.0002,0.3823,-0.00004
0.56,1.6502,0.0002,0.4006,-0.00003
0.58,1.6502,0.0002,0.4194,-0.00003
0.6,1.6502,0.0002,0.4388,-0.00003
0.62,1.6502,0.0002,0.4588,-0.00003
0.64,1.6502,0.0002,0.4799,-0.00002
0.66,1.6502,0.0002,0.502,-0.00005
0.68,1.6502,0.0002,0.5249,-0.00004
0.7,1.6502,0.0002,0.5481,-0.00002
0.72,1.6502,0.0002,0.5707,-0.00001
0.74,1.6502,0.0002,0.5917,-0.00001
0.76,1.6502,0.0002,0.6108,-0.00001
0.78,1.6502,0.0002,0.6293,-0.00001
0.8,1.6502,0.0002,0.6469,0.00007
0.82,1.6502,0.0002,0.6651,0.00036
0.84,1.6502,0.0002,0.6849,0.00052
0.86,1.6502,0.0002,0.7039,0.00054
0.88,1.6502,0.0002,0.7214,0.00052
0.9,1.6502,0.0002,0.7385,0.00051
0.92,1.6502,0.0002,0.7564,0.00052
0.94,1.6502,0.0002,0.7748,0.00053
0.96,1.6502,0.0002,0.7935,0.00052
0.98,1.6502,0.0002,0.8127,0.00053
1,1.6502,0.0002,0.8328,0.00055
1.02,1.6502,0.0002,0.8539,0.00054
1.04,1.6502,0.0002,0.8757,0.00054
1.06,1.6502,0.0002,0.8982,0.00056
1.08,1.6502,0.0002,0.9206,0.00056
1.1,1.6502,0.0002,0.9423,0.00058
1.12,1.6502,0.0002,0.9635,0.00059
1.14,1.6502,0.0002,0.9846,0.0006
1.16,1.6502,0.0002,1.0061,0.0006
1.18,1.6502,0.0002,1.0273,0.00059
1.2,1.6502,0.0002,1.0485,0.00059
1.22,1.6502,0.0002,1.0683,0.00057
1.24,1.6502,0.0002,1.087,0.00057
1.26,1.6502,0.0002,1.1047,0.00056
1.28,1.6502,0.0002,1.122,0.00056
1.3,1.6502,0.0002,1.1404,0.00055
1.32,1.6502,0.0002,1.1596,0.00055
1.34,1.6502,0.0002,1.1789,0.00057
1.36,1.6502,0.0002,1.1992,0.0006
1.38,1.6502,0.0002,1.2208,0.00059
1.4,1.6502,0.0002,1.2431,0.00059
1.42,1.6502,0.0002,1.2656,0.00058
1.44,1.6502,0.0002,1.288,0.0006
1.46,1.6502,0.0002,1.3106,0.00059
1.48,1.6502,0.0002,1.3328,0.00058
1.5,1.6502,0.0002,1.3539,0.0006
1.52,1.6502,0.0002,1.3746,0.00059
1.54,1.6502,0.0002,1.3952,0.0006
1.56,1.6502,0.0002,1.4155,0.00059
1.58,1.6502,0.0002,1.4355,0.00058
1.6,1.6502,0.0002,1.4546,0.00058
1.62,1.6502,0.0002,1.4724,0.00058
1.64,1.6502,0.0002,1.4895,0.0006
1.66,1.6502,0.0002,1.5068,0.00059
1.68,1.6502,0.0002,1.5245,0.0006
1.7,1.6502,0.0002,1.5427,0.0006
1.72,1.6502,0.0002,1.5618,0.0006
