Time,Torque,Rotation
(s),(N-mm),(deg)
0,-0.0865,0
0.02,-0.086,0
0.04,-0.0784,0
0.06,-0.0593,0
0.08,-0.0433,0
0.1,-0.0432,0
0.12,-0.0401,0
0.14,-0.0542,0
0.16,-0.068,0
0.18,-0.0811,-0.0001
0.2,-0.0941,-0.0006
0.22,-0.0926,-0.0011
0.24,-0.0926,-0.0027
0.26,-0.0967,-0.0061
0.28,-0.096,-0.0105
0.3,-0.0973,-0.0151
0.32,-0.1212,-0.0202
0.34,-0.1473,-0.0261
0.36,-0.1725,-0.0324
0.38,-0.1807,-0.0387
0.4,-0.21,-0.0449
0.42,-0.2292,-0.051
0.44,-0.2368,-0.057
0.46,-0.2488,-0.0633
0.48,-0.2489,-0.0701
0.5,-0.2401,-0.0777
0.52,-0.243,-0.0853
0.54,-0.2562,-0.092
0.56,-0.254,-0.0982
0.58,-0.2516,-0.104
0.6,-0.2641,-0.1098
0.62,-0.2823,-0.1154
0.64,-0.2771,-0.1211
0.66,-0.2653,-0.1269
0.68,-0.2618,-0.1328
0.7,-0.2423,-0.1388
0.72,-0.2439,-0.1448
0.74,-0.2546,-0.1505
0.76,-0.261,-0.156
0.78,-0.2636,-0.1613
0.8,-0.2686,-0.1665
0.82,-0.2633,-0.1717
0.84,-0.2576,-0.1769
0.86,-0.2478,-0.1821
0.88,-0.2457,-0.1874
0.9,-0.2454,-0.1927
0.92,-0.2485,-0.1979
0.94,-0.2472,-0.2032
0.96,-0.2543,-0.2083
0.98,-0.2556,-0.2134
1,-0.2691,-0.2183
1.02,-0.2721,-0.2231
1.04,-0.269,-0.228
1.06,-0.2641,-0.2329
1.08,-0.258,-0.2379
1.1,-0.2609,-0.2429
1.12,-0.2606,-0.2478
1.14,-0.2623,-0.2526
1.16,-0.2751,-0.2574
1.18,-0.2776,-0.2622
1.2,-0.2758,-0.267
1.22,-0.2642,-0.2718
1.24,-0.2617,-0.2765
1.26,-0.2631,-0.2812
1.28,-0.257,-0.2858
1.3,-0.2467,-0.2904
1.32,-0.2454,-0.295
1.34,-0.2663,-0.2996
1.36,-0.2752,-0.3042
1.38,-0.2907,-0.3089
1.4,-0.2941,-0.3136
1.42,-0.296,-0.3183
1.44,-0.2775,-0.323
1.46,-0.273,-0.3278
1.48,-0.2577,-0.3325
1.5,-0.2487,-0.3372
1.52,-0.2461,-0.3419
1.54,-0.2643,-0.3466
1.56,-0.2761,-0.3512
1.58,-0.284,-0.3559
1.6,-0.2971,-0.3607
1.62,-0.2877,-0.3657
1.64,-0.27,-0.3706
1.66,-0.2562,-0.3756
1.68,-0.2467,-0.3805
1.7,-0.2238,-0.3854
1.72,-0.2421,-0.3903
1.74,-0.253,-0.3954
1.76,-0.2587,-0.4004
1.78,-0.28,-0.4055
1.8,-0.2907,-0.4105
1.82,-0.2935,-0.4157
1.84,-0.2826,-0.421
1.86,-0.28,-0.4261
1.88,-0.2729,-0.4313
1.9,-0.2545,-0.4364
1.92,-0.249,-0.4417
1.94,-0.2627,-0.4471
1.96,-0.2717,-0.4525
1.98,-0.2888,-0.4579
2,-0.2843,-0.4634
2.02,-0.2897,-0.4687
2.04,-0.2859,-0.474
2.06,-0.2525,-0.4792
2.08,-0.2364,-0.4844
2.1,-0.2382,-0.4895
2.12,-0.2574,-0.4948
2.14,-0.2592,-0.5
2.16,-0.2677,-0.5053
2.18,-0.2856,-0.5106
2.2,-0.2899,-0.516
2.22,-0.2911,-0.5213
2.24,-0.2787,-0.5265
2.26,-0.2684,-0.5317
2.28,-0.2606,-0.5368
2.3,-0.271,-0.5418
2.32,-0.2691,-0.5469
2.34,-0.2714,-0.552
2.36,-0.2828,-0.557
2.38,-0.2713,-0.5619
2.4,-0.2658,-0.5669
2.42,-0.2798,-0.5719
2.44,-0.2798,-0.577
2.46,-0.2657,-0.582
2.48,-0.2748,-0.587
2.5,-0.275,-0.592
2.52,-0.2638,-0.5969
2.54,-0.2725,-0.6018
2.56,-0.2818,-0.6066
2.58,-0.2877,-0.6113
2.6,-0.2783,-0.6161
2.62,-0.2695,-0.6209
2.64,-0.2738,-0.6258
2.66,-0.2745,-0.6306
2.68,-0.2895,-0.6352
2.7,-0.2847,-0.6394
2.72,-0.2879,-0.6437
2.74,-0.3092,-0.6479
2.76,-0.3358,-0.6521
2.78,-0.3757,-0.6564
2.8,-0.4219,-0.6606
2.82,-0.5435,-0.6649
2.84,-0.7766,-0.6693
2.86,-1.281,-0.6739
2.88,-2.0782,-0.6789
2.9,-2.9801,-0.6841
2.92,-3.8565,-0.6893
2.94,-4.6342,-0.6942
2.96,-5.3321,-0.699
2.98,-6.0155,-0.7036
3,-6.6964,-0.7082
3.02,-7.3605,-0.7129
3.04,-8.0385,-0.7175
3.06,-8.7257,-0.7223
3.08,-9.4304,-0.7271
3.1,-10.1364,-0.7321
3.12,-10.8809,-0.7371
3.14,-11.634,-0.742
3.16,-12.3831,-0.747
3.18,-13.1404,-0.752
3.2,-13.8994,-0.7571
3.22,-14.6674,-0.7622
3.24,-15.464,-0.7675
3.26,-16.2405,-0.7727
3.28,-17.0178,-0.7779
3.3,-17.7766,-0.783
3.32,-18.5417,-0.7882
3.34,-19.3317,-0.7934
3.36,-20.1276,-0.7987
3.38,-20.9424,-0.804
3.4,-21.7574,-0.8095
3.42,-22.6059,-0.815
3.44,-23.4602,-0.8207
3.46,-24.3046,-0.8262
3.48,-25.1358,-0.8316
3.5,-25.9433,-0.8369
