Rotation,Torque
0.2286,-0.0006
0.3293,-0.0005
0.4297,-0.0005
0.5299,-0.0005
0.6302,-0.0005
0.7305,-0.0005
0.8308,-0.0005
0.9312,-0.0003
1.0314,0.0002
1.1315,0.0006
1.2319,0.0009
1.3321,0.0012
1.4324,0.0013
1.5326,0.0015
1.6327,0.0016
1.7331,0.0017
1.8334,0.0018
1.9336,0.0019
2.0336,0.002
2.1336,0.0021
2.2338,0.0021
2.3341,0.0021
2.4341,0.0022
2.5343,0.0023
2.6347,0.0023
2.7348,0.0023
2.8352,0.0024
2.9356,0.0025
3.0357,0.0025
3.136,0.0026
3.2361,0.0026
3.3364,0.0026
3.4365,0.0027
3.5368,0.0027
3.6371,0.0028
3.7371,0.0028
3.8375,0.0029
3.9379,0.0029
4.0379,0.0029
4.1383,0.0029
4.2384,0.0029
4.3385,0.0029
4.4386,0.003
4.5388,0.003
4.6389,0.0031
4.7393,0.0031
4.8394,0.0032
4.9399,0.0032
5.04,0.0032
5.1402,0.0033
5.2404,0.0033
5.3404,0.0034
5.4406,0.0034
5.5406,0.0035
5.6409,0.0035
5.7413,0.0035
5.8418,0.0036
5.9422,0.0037
6.0427,0.0037
6.1427,0.0038
6.2429,0.0038
6.3431,0.0039
6.4431,0.0039
6.5432,0.0039
6.6434,0.004
6.7437,0.004
6.844,0.0041
6.9444,0.0041
7.0444,0.0041
7.1447,0.0042
7.2449,0.0042
7.3453,0.0043
7.4454,0.0043
7.5456,0.0044
7.646,0.0044
7.7464,0.0044
7.8467,0.0045
7.9469,0.0045
8.0472,0.0046
8.1475,0.0046
8.2476,0.0046
8.3479,0.0047
8.448,0.0047
8.5482,0.0047
8.6486,0.0048
8.7486,0.0048
8.8487,0.0048
8.9487,0.0049
9.049,0.0049
9.1492,0.005
9.2496,0.005
9.3498,0.005
9.45,0.0051
9.5504,0.0052
9.6507,0.0052
9.7507,0.0053
9.8512,0.0053
9.9517,0.0054
10.0519,0.0054
10.1523,0.0054
10.2525,0.0054
10.3529,0.0055
10.4533,0.0056
10.5536,0.0056
10.6541,0.0056
10.7541,0.0056
10.8542,0.0057
10.9545,0.0057
11.0549,0.0057
11.1553,0.0058
11.2553,0.0058
11.3557,0.0058
11.4558,0.0059
11.556,0.0059
11.6563,0.006
11.7568,0.006
11.8572,0.006
11.9573,0.0061
12.0577,0.0062
12.1581,0.0063
12.2585,0.0063
12.3586,0.0064
12.459,0.0064
12.5592,0.0064
12.6595,0.0065
12.7598,0.0065
12.8603,0.0066
12.9608,0.0067
13.0608,0.0067
13.1612,0.0068
13.2614,0.0069
13.3616,0.0069
13.4619,0.007
13.5619,0.007
13.6624,0.007
13.7627,0.007
13.863,0.007
13.9635,0.0071
14.0639,0.0072
14.1641,0.0072
14.2642,0.0073
14.3645,0.0073
14.4646,0.0074
14.5648,0.0075
14.6652,0.0076
14.7654,0.0076
14.8658,0.0077
14.9661,0.0077
15.0665,0.0078
15.1667,0.0078
15.267,0.0079
15.3674,0.0078
15.4676,0.0079
15.5678,0.008
15.6679,0.008
15.7682,0.0081
15.8684,0.0082
15.9688,0.0083
16.069,0.0084
16.1693,0.0084
16.2695,0.0084
16.3698,0.0085
16.4701,0.0085
16.5705,0.0086
16.6707,0.0086
16.7708,0.0087
16.8711,0.0088
16.9715,0.0089
17.072,0.009
17.1722,0.0091
17.2726,0.0092
17.3729,0.0092
17.4733,0.0092
17.5736,0.0093
17.6739,0.0094
17.7742,0.0095
17.8745,0.0096
17.9748,0.0096
18.0749,0.0098
18.1754,0.0098
18.2755,0.0099
18.3758,0.01
18.4758,0.0101
