Rotation,Torque
0.2079,0.0058
0.308,0.0059
0.4084,0.0058
0.5089,0.0054
0.6089,0.0057
0.7091,0.0058
0.8092,0.006
0.9095,0.0061
1.0097,0.0054
1.1098,0.0057
1.2102,0.006
1.3105,0.0061
1.4105,0.0062
1.5107,0.0062
1.6107,0.0055
1.7109,0.0058
1.8113,0.006
1.9118,0.0058
2.012,0.006
2.1123,0.006
2.2124,0.0061
2.3129,0.0063
2.4129,0.0063
2.513,0.0064
2.6133,0.006
2.7134,0.0063
2.8139,0.0064
2.9143,0.0062
3.0147,0.0064
3.1151,0.0065
3.2153,0.0066
3.3156,0.0063
3.416,0.0066
3.5163,0.0065
3.6166,0.0067
3.717,0.0067
3.8171,0.0063
3.9171,0.0064
4.0174,0.0066
4.1175,0.0066
4.2178,0.0066
4.3179,0.0068
4.418,0.0068
4.518,0.0069
4.6183,0.0058
4.7186,0.0061
4.8191,0.0064
4.9192,0.0067
5.0194,0.0068
5.1196,0.0069
5.2201,0.007
5.3204,0.0072
5.4208,0.0065
5.5212,0.0068
5.6215,0.0071
5.7217,0.0073
5.8221,0.0066
5.9225,0.0069
6.0228,0.0071
6.1232,0.0073
6.2236,0.0074
6.3238,0.0061
6.4238,0.0066
6.5239,0.0069
6.6241,0.0071
6.7244,0.0073
6.8247,0.0074
6.9248,0.0065
7.0253,0.0069
7.1258,0.0071
7.2259,0.0071
7.3264,0.0068
7.4268,0.0071
7.527,0.0073
7.6272,0.0075
7.7272,0.0075
7.8276,0.007
7.9276,0.0074
8.0278,0.0076
8.1282,0.0078
8.2286,0.0078
8.3289,0.0079
8.4292,0.0079
8.5294,0.0079
8.6297,0.007
8.7302,0.0074
8.8304,0.0077
8.9308,0.0079
9.031,0.0081
9.1311,0.0074
9.2312,0.0077
9.3313,0.0079
9.4315,0.0081
9.532,0.0083
9.6324,0.008
9.7327,0.0083
9.8331,0.0085
9.9334,0.0075
10.0335,0.0079
10.1338,0.0082
10.2338,0.0084
10.334,0.0085
10.4341,0.0087
10.5345,0.0083
10.6349,0.0079
10.7353,0.0082
10.8357,0.0084
10.9362,0.0086
11.0366,0.0088
11.1369,0.0087
11.2372,0.0089
11.3374,0.0082
11.4374,0.0086
11.5375,0.0088
11.6375,0.009
11.7379,0.0092
11.8382,0.009
11.9383,0.0091
12.0383,0.0093
12.1384,0.0095
12.2387,0.0095
