Displacement,Force
0.0004,-0.0014
0.2007,0.0799
0.4009,0.1245
0.6012,0.1485
0.8013,0.1662
1.0018,0.1873
1.2023,0.2096
1.4026,0.2254
1.6027,0.2473
1.8028,0.2651
2.0029,0.2777
2.203,0.2971
2.4035,0.3063
2.604,0.323
2.804,0.3353
3.0042,0.3512
3.2047,0.3686
3.405,0.38
3.6051,0.4056
3.8054,0.4303
4.0059,0.4498
4.2061,0.4698
4.4065,0.4905
4.607,0.5172
4.8072,0.5371
5.0073,0.5592
5.2074,0.5833
5.4079,0.6125
5.6083,0.6386
5.8083,0.6649
6.0088,0.7006
6.2093,0.7313
6.4093,0.774
6.6098,0.8109
6.8099,0.8403
7.0103,0.8753
7.2107,0.918
7.4109,0.9547
7.6111,0.9924
7.8113,1.0401
8.0117,1.0878
8.2118,1.1199
8.4121,1.1618
8.6125,1.2084
8.813,1.2494
9.0131,1.3003
9.2134,1.3558
9.4138,1.4113
9.6141,1.4611
9.8144,1.5236
10.0147,1.5318
10.2151,1.6071
10.4151,1.6567
10.6156,1.7162
10.816,1.7801
11.0163,1.8479
11.2164,1.9171
11.4169,1.9808
11.6172,2.0463
11.8175,2.1051
12.0178,2.1755
12.2178,2.2438
12.4181,2.3124
12.6183,2.3797
12.8184,2.4544
13.0187,2.5252
13.2187,2.601
13.419,2.671
13.6193,2.7448
13.8194,2.8093
14.0196,2.8818
14.2201,2.9598
14.4205,3.0088
14.621,3.0973
14.8214,3.171
15.0001,3.2319
0.0004,0.0024
0.2007,0.0779
0.4009,0.1226
0.6012,0.1514
0.8013,0.1629
1.0016,0.1907
1.2019,0.2091
1.4024,0.2222
1.6024,0.2443
1.8027,0.2619
2.0031,0.2805
2.2035,0.2961
2.4039,0.3141
2.6043,0.3189
2.8047,0.3335
3.0047,0.3492
3.2051,0.3675
3.4054,0.3786
3.6055,0.4016
3.8057,0.4166
4.0058,0.4413
4.2062,0.4681
4.4064,0.4922
4.6068,0.5076
4.807,0.5412
5.0074,0.5666
5.2079,0.6007
5.4082,0.6279
5.6083,0.6502
5.8083,0.6772
6.0088,0.7013
6.2091,0.7356
6.4091,0.7673
6.6096,0.7993
6.8098,0.8438
7.0098,0.8861
7.2103,0.9114
7.4103,0.959
7.6103,0.991
7.8106,1.0369
8.0109,1.0804
8.2112,1.1184
8.4112,1.1611
8.6113,1.2044
8.8114,1.2499
9.0118,1.2963
9.2123,1.3458
9.4127,1.4009
9.6129,1.4243
9.8129,1.4749
10.0132,1.5362
10.2137,1.5968
10.4139,1.6531
10.6139,1.7172
10.8139,1.7736
11.0142,1.8378
11.2145,1.8983
11.4147,1.9658
11.6147,2.0304
11.815,2.1044
12.0152,2.1786
12.2153,2.2394
12.4156,2.302
12.616,2.3704
12.8163,2.4426
13.0163,2.5276
13.2166,2.5919
13.417,2.6578
13.6171,2.731
13.8176,2.8091
14.0178,2.8757
14.2179,2.9385
14.4181,3.012
14.6185,3.0938
14.8189,3.1705
15.0001,3.2498
0.0004,0.0012
0.2004,0.0681
0.4007,0.1138
0.6007,0.1424
0.8012,0.164
1.0012,0.1905
1.2013,0.21
1.4015,0.2257
1.6015,0.2386
1.8017,0.2521
2.0019,0.2749
2.2019,0.292
2.4022,0.305
2.6025,0.3169
2.8029,0.3273
3.0033,0.3427
3.2035,0.3541
3.4039,0.3747
3.6043,0.3928
3.8045,0.4116
4.0046,0.4347
4.2047,0.4595
4.4051,0.4856
4.6054,0.5152
4.8059,0.5424
5.0063,0.56
5.2063,0.5788
5.4065,0.6168
5.607,0.6345
5.8073,0.6633
6.0076,0.6845
6.2081,0.7211
6.4086,0.7572
6.6087,0.7951
6.8089,0.8284
7.0093,0.8669
7.2097,0.9121
7.4097,0.9518
7.6098,0.9893
7.8102,1.0385
8.0107,1.0817
8.2108,1.1308
8.4112,1.1689
8.6113,1.2011
8.8118,1.2472
9.0124,1.2985
9.2126,1.3483
9.4128,1.3981
9.6129,1.4591
9.8132,1.485
