Displacement,Force
0.0004,-0.0316
0.2006,0.0153
0.401,0.0283
0.6011,0.0333
0.8013,0.0417
1.0017,0.0443
1.2018,0.0536
1.4018,0.0618
1.602,0.0691
1.8021,0.0751
2.0025,0.0765
2.2029,0.0815
2.4032,0.086
2.6035,0.0909
2.8038,0.0869
3.0042,0.0981
3.2044,0.1031
3.4045,0.1054
3.6047,0.1141
3.8047,0.1218
4.005,0.1245
4.2053,0.1331
4.4054,0.1388
4.6056,0.1465
4.8057,0.1578
5.0059,0.1641
5.206,0.1693
5.4063,0.1799
5.6065,0.1863
5.8067,0.1918
6.0069,0.199
6.2069,0.2099
6.4074,0.2211
6.6079,0.2325
6.808,0.2473
7.0081,0.2526
7.2081,0.2653
7.4081,0.2717
7.6086,0.2827
7.8089,0.2959
8.009,0.3053
8.2093,0.3177
8.4096,0.3292
8.61,0.343
8.8101,0.36
9.0107,0.3695
9.2107,0.384
9.4107,0.4004
9.6108,0.4117
9.8109,0.4277
10.011,0.4479
10.2115,0.4513
10.4116,0.4678
10.6116,0.488
10.8121,0.5007
11.0122,0.5142
11.2124,0.5311
11.4127,0.5485
11.6129,0.5635
11.8132,0.5813
12.0135,0.5977
12.2136,0.617
12.4141,0.6353
12.6142,0.6477
12.8146,0.6679
13.0149,0.6906
13.2151,0.7054
13.4152,0.7272
13.6154,0.7378
13.8159,0.7646
14.0163,0.7861
14.2168,0.8024
14.417,0.8236
14.6173,0.8418
14.8175,0.8617
15.0002,0.8751
0.0004,-0.0384
0.2006,0.0119
0.4007,0.0259
0.6009,0.0342
0.8012,0.0384
1.0016,0.0441
1.2019,0.0518
1.4021,0.0577
1.6026,0.0595
1.8028,0.0655
2.0031,0.0704
2.2035,0.0745
2.4039,0.0815
2.6044,0.0848
2.8049,0.0894
3.005,0.0945
3.2054,0.0996
3.4056,0.103
3.606,0.1124
3.8064,0.1208
4.0068,0.123
4.2073,0.1324
4.4077,0.1367
4.6079,0.1409
4.8082,0.15
5.0085,0.1579
5.2089,0.1702
5.4092,0.173
5.6096,0.182
5.8097,0.192
6.0101,0.199
6.2101,0.2082
6.4102,0.2148
6.6103,0.2267
6.8104,0.237
7.0108,0.2482
7.2112,0.2581
7.4113,0.2674
7.6113,0.2779
7.8114,0.2874
8.0114,0.2997
8.2117,0.314
8.4118,0.3241
8.6122,0.3344
8.8122,0.345
9.0127,0.3571
9.2128,0.3746
9.4128,0.3873
9.613,0.4021
9.813,0.4195
10.0131,0.4241
10.2134,0.444
10.4135,0.4637
10.6136,0.4772
10.8138,0.4957
11.014,0.5084
11.2141,0.519
11.4144,0.5404
11.6145,0.5547
11.8147,0.5719
12.0152,0.5901
12.2153,0.6087
12.4157,0.6248
12.6159,0.6365
12.816,0.663
13.0163,0.6795
13.2165,0.6973
13.4169,0.7143
13.6171,0.7268
13.8174,0.7483
14.0177,0.7695
14.2182,0.7897
14.4184,0.8048
14.6186,0.829
14.819,0.8496
15,0.8671
0.0004,-0.0401
0.2007,0.0034
0.401,0.0219
0.6011,0.0292
0.8014,0.0341
1.0015,0.0374
