Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
0,1398.836,0.1062,-2.2625
0.05,1397.8173,0.1074,-2.1679
0.1,1393.5523,0.1838,-2.3059
0.15,1401.6975,0.2873,-2.3895
0.2,1394.1641,0.3872,-2.6098
0.25,1397.4183,0.4871,-2.5919
0.3,1401.5182,0.5873,-2.7589
0.35,1391.0458,0.6872,-2.9872
0.4,1403.1504,0.787,-3.0672
0.45,1391.0751,0.8871,-3.1325
0.5,1387.6005,0.9871,-3.2393
0.55,1398.8463,1.087,-3.3323
0.6,1389.2124,1.1872,-3.5294
0.65,1391.8597,1.2872,-3.5929
0.7,1390.2957,1.3872,-3.6503
0.75,1382.3465,1.487,-3.7158
0.8,1398.7564,1.5872,-3.8775
0.85,1383.3035,1.6872,-4.0045
0.9,1386.8692,1.7862,-4.0408
0.95,1387.6015,1.8872,-4.2171
1,1379.6096,1.9872,-4.2996
1.05,1392.8537,2.0873,-4.3455
1.1,1383.8183,2.1871,-4.5087
1.15,1382.0671,2.2869,-4.6686
1.2,1390.5674,2.3873,-4.8626
1.25,1378.7766,2.4872,-4.7825
1.3,1388.4076,2.5871,-4.9838
1.35,1383.6268,2.687,-5.07
1.4,1379.0815,2.7868,-5.1686
1.45,1391.5832,2.887,-5.2861
1.5,1378.4623,2.9873,-5.478
1.55,1382.3197,3.0869,-5.61
1.6,1383.3318,3.1868,-5.6457
1.65,1377.4418,3.2873,-5.7957
1.7,1390.8097,3.3866,-5.8097
1.75,1374.5493,3.4871,-5.9261
1.8,1375.49,3.5864,-6.1112
1.85,1379.7703,3.6868,-6.1176
1.9,1370.4818,3.7868,-6.2804
1.95,1381.2039,3.887,-6.4355
2,1374.5334,3.9866,-6.5327
2.05,1369.9658,4.0869,-6.5616
2.1,1379.9492,4.1868,-6.8337
2.15,1364.3997,4.2871,-6.7835
2.2,1375.9764,4.3869,-6.8546
2.25,1367.8765,4.4872,-6.9987
2.3,1368.0429,4.5867,-7.1231
2.35,1380.2445,4.6865,-7.2444
2.4,1360.1706,4.7871,-7.3002
2.45,1368.9712,4.8867,-7.428
2.5,1368.3164,4.9867,-7.4802
2.55,1354.7958,5.087,-7.7188
2.6,1373.428,5.1866,-7.7741
2.65,1358.7383,5.2867,-7.8002
2.7,1351.9106,5.3865,-7.9189
2.75,1360.9499,5.4866,-8.0994
2.8,1344.2165,5.5866,-8.1088
2.85,1355.0805,5.6868,-8.2264
2.9,1346.0172,5.7865,-8.3819
2.95,1346.8436,5.8866,-8.4922
3,1355.2772,5.9867,-8.5315
3.05,1343.4482,6.0869,-8.5354
3.1,1343.7635,6.1866,-8.6957
3.15,1346.8566,6.2867,-8.7729
3.2,1334.8906,6.3866,-8.9047
3.25,1353.3717,6.4867,-8.9377
3.3,1336.8416,6.5866,-9.009
3.35,1338.4295,6.6866,-8.9633
3.4,1339.547,6.7866,-9.2588
3.45,1325.331,6.8865,-9.3589
3.5,1339.5177,6.9868,-9.4297
3.55,1326.4391,7.0867,-9.4725
3.6,1328.2713,7.1863,-9.6325
3.65,1337.4842,7.2866,-9.739
3.7,1320.9805,7.3864,-9.7602
3.75,1327.4661,7.4869,-9.8301
3.8,1325.7565,7.5867,-9.9605
3.85,1320.4403,7.6867,-10.1015
3.9,1332.1513,7.787,-10.1804
3.95,1317.9029,7.8867,-10.2506
4,1317.6725,7.9867,-10.3794
4.05,1320.3455,8.0866,-10.3614
4.1,1312.4892,8.1868,-10.504
4.15,1324.2784,8.2866,-10.5725
4.2,1313.8242,8.3867,-10.7067
4.25,1309.2911,8.4866,-10.7823
4.3,1316.849,8.5866,-10.8341
4.35,1308.6684,8.6864,-11.0268
4.4,1321.7188,8.7866,-11.054
4.45,1312.3338,8.8865,-11.03
4.5,1307.9882,8.9862,-11.4023
4.55,1318.8397,9.0865,-11.3053
4.6,1305.4228,9.1865,-11.5159
4.65,1311.0468,9.2867,-11.4767
4.7,1312.1243,9.3865,-11.5729
4.75,1301.9375,9.4865,-11.7345
4.8,1313.8758,9.5869,-11.7213
4.85,1298.291,9.6866,-11.8151
4.9,1302.2635,9.7866,-11.9058
4.95,1303.443,9.8866,-12.1198
5,1297.7204,9.9863,-12.072
5.05,1307.7765,10.0865,-12.0983
5.1,1296.6658,10.1867,-12.2049
5.15,1294.1504,10.2864,-12.2997
5.2,1303.0392,10.3865,-12.3777
