Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
0,94.5276,44.9019,3.2849
0.05,93.6583,44.9005,3.3379
0.1,94.8944,44.8232,3.5391
0.15,94.1915,44.72,3.6912
0.2,92.6867,44.6206,3.9592
0.25,96.6418,44.5203,4.1438
0.3,97.115,44.4202,4.432
0.35,98.2366,44.3205,4.6246
0.4,99.4554,44.2201,4.7513
0.45,93.8987,44.1204,4.8951
0.5,93.2088,44.0198,5.1354
0.55,91.2921,43.9203,5.3393
0.6,91.6871,43.8204,5.5125
0.65,90.6116,43.7202,5.6319
0.7,91.0338,43.6204,5.9098
0.75,94.08,43.5203,6.0392
0.8,93.265,43.4207,6.2125
0.85,92.767,43.3203,6.3076
0.9,92.6975,43.2204,6.5427
0.95,89.6285,43.1204,6.728
1,92.9091,43.0203,6.8012
1.05,102.9121,42.9205,7.0433
1.1,102.5265,42.8207,7.3221
1.15,109.0133,42.7204,7.5476
1.2,109.5808,42.6205,7.6432
1.25,106.4814,42.5206,7.9596
1.3,106.3886,42.4203,8.1471
1.35,108.4666,42.3204,8.2555
1.4,115.4715,42.2202,8.4724
1.45,119.1475,42.1203,8.5813
1.5,126.8855,42.0203,8.7252
1.55,134.7345,41.9204,9.0088
1.6,137.5595,41.8205,9.2611
1.65,134.7627,41.7205,9.2942
1.7,137.5336,41.6203,9.4899
1.75,142.06,41.5207,9.7552
1.8,146.7718,41.4206,9.8684
1.85,152.8488,41.3203,9.9396
1.9,158.3959,41.2205,10.167
1.95,160.1728,41.1205,10.3318
2,164.4867,41.0207,10.469
2.05,163.4181,40.9204,10.6441
2.1,164.3589,40.8204,10.774
2.15,170.1068,40.7204,11.0428
2.2,171.752,40.6206,11.2667
2.25,178.1503,40.5206,11.3221
2.3,185.3701,40.4199,11.4464
2.35,191.6769,40.3203,11.6734
2.4,185.7175,40.2208,11.7348
2.45,189.4249,40.1204,12.0041
2.5,186.4047,40.0207,12.1244
2.55,189.6711,39.9205,12.2288
2.6,198.0425,39.8207,12.3836
2.65,199.4275,39.7206,12.6489
2.7,212.4266,39.6206,12.824
2.75,217.6787,39.5205,12.9612
2.8,218.5835,39.4205,13.203
2.85,219.1746,39.321,13.3383
2.9,217.6351,39.2206,13.5034
2.95,219.7953,39.1206,13.6521
3,220.7557,39.0205,13.7693
3.05,221.7988,38.9208,14.0789
3.1,224.5241,38.8207,14.1725
3.15,235.8897,38.7208,14.3319
3.2,238.944,38.62,14.4579
3.25,237.4973,38.5205,14.6679
3.3,236.7229,38.4205,14.8302
3.35,237.9265,38.3204,14.9962
3.4,242.8946,38.2205,15.1405
3.45,245.3478,38.1205,15.3582
3.5,252.8117,38.0209,15.4464
3.55,256.3358,37.9205,15.6223
3.6,259.4287,37.8206,15.768
3.65,259.546,37.7205,15.925
3.7,259.234,37.6205,16.149
3.75,260.2941,37.5205,16.3624
3.8,267.7468,37.4209,16.5371
3.85,269.0956,37.3206,16.6159
3.9,274.9829,37.2207,16.77
3.95,284.0271,37.1209,16.9158
4,289.2289,37.0206,17.1616
4.05,292.3773,36.9206,17.3505
