Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
0,325.7695,0.1053,-8.3665
0.05,326.0042,0.1069,-8.4193
0.1,324.6559,0.1848,-8.6152
0.15,320.3406,0.288,-8.8528
0.2,323.0992,0.3878,-8.7916
0.25,328.7341,0.4878,-8.8105
0.3,327.1659,0.5882,-8.8868
0.35,327.0079,0.688,-8.9522
0.4,325.6457,0.7878,-9.0028
0.45,328.5364,0.8878,-9.1125
0.5,328.0797,0.9879,-9.1182
0.55,331.6359,1.0878,-9.196
0.6,333.061,1.1879,-9.1663
0.65,331.8288,1.2879,-9.318
0.7,327.6576,1.3879,-9.3268
0.75,327.1618,1.4878,-9.3941
0.8,326.8344,1.5879,-9.3856
0.85,335.7342,1.688,-9.5129
0.9,331.7313,1.7872,-9.5327
0.95,333.6554,1.8876,-9.5733
1,329.2443,1.9877,-9.6959
1.05,328.4133,2.0877,-9.6995
1.1,329.6559,2.1878,-9.7143
1.15,333.0432,2.2875,-9.7972
1.2,333.9182,2.3878,-9.8507
1.25,332.729,2.4881,-9.8879
1.3,326.9683,2.5876,-9.8614
1.35,328.3418,2.6875,-9.9459
1.4,326.6807,2.7877,-10.021
1.45,328.996,2.8874,-9.9238
1.5,327.9561,2.988,-10.0444
1.55,328.92,3.0873,-10.0229
1.6,325.0853,3.1875,-10.0534
1.65,323.2625,3.2879,-10.1926
1.7,324.4017,3.3875,-10.2905
1.75,325.1288,3.4876,-10.4517
1.8,324.7229,3.5872,-10.3546
1.85,331.6184,3.6876,-10.324
1.9,325.8086,3.7875,-10.4783
1.95,324.6399,3.8876,-10.6254
2,326.0835,3.9874,-10.6634
2.05,324.0662,4.0875,-10.6757
2.1,328.5089,4.1877,-10.7741
2.15,329.5064,4.2878,-10.7984
2.2,323.4657,4.3875,-10.7663
2.25,327.5239,4.4873,-10.9496
2.3,328.355,4.5873,-11.0078
2.35,330.9316,4.6874,-11.0393
2.4,335.3711,4.7875,-11.0961
2.45,339.9024,4.8873,-11.1087
2.5,336.6556,4.9871,-11.1869
2.55,336.7246,5.0874,-11.1947
2.6,336.1119,5.1873,-11.1595
2.65,341.3873,5.2872,-11.2434
2.7,346.6913,5.3869,-11.2429
2.75,344.8173,5.4872,-11.3456
2.8,347.5195,5.587,-11.3776
2.85,344.4636,5.6873,-11.4263
2.9,344.7824,5.787,-11.4805
2.95,349.768,5.887,-11.5229
3,352.6277,5.9873,-11.5985
3.05,352.392,6.0875,-11.6033
3.1,350.5908,6.1872,-11.7291
3.15,350.1614,6.2869,-11.7749
3.2,352.7941,6.387,-11.6661
3.25,352.9931,6.487,-11.7568
3.3,355.7396,6.5872,-11.79
3.35,357.7593,6.6872,-11.8098
3.4,358.7474,6.787,-11.9401
3.45,352.6249,6.8871,-11.9424
3.5,355.1885,6.9871,-11.8324
3.55,359.0394,7.087,-12.1107
3.6,360.0233,7.1866,-12.0731
3.65,358.3928,7.287,-11.9393
3.7,361.388,7.3868,-12.1776
3.75,361.0657,7.4871,-12.1106
3.8,358.8372,7.587,-12.2148
3.85,361.4242,7.687,-12.1721
3.9,366.5615,7.7871,-12.2051
3.95,368.3476,7.887,-12.2771
4,368.0069,7.9869,-12.3159
4.05,366.6693,8.0869,-12.3073
4.1,362.182,8.1868,-12.2776
4.15,364.1113,8.2868,-12.266
4.2,370.4419,8.3872,-12.3204
4.25,370.7643,8.4869,-12.404
4.3,369.0342,8.5869,-12.403
4.35,369.2514,8.687,-12.5896
4.4,366.5495,8.7868,-12.5691
4.45,369.7526,8.8869,-12.4766
4.5,366.2698,8.9863,-12.6302
4.55,373.8836,9.0868,-12.5408
4.6,368.4814,9.1867,-12.499
4.65,366.3479,9.2868,-12.6203
4.7,360.0446,9.3869,-12.6267
4.75,360.4215,9.4869,-12.6152
4.8,363.7274,9.5872,-12.7664
4.85,369.4339,9.6869,-12.8358
4.9,367.6697,9.7869,-12.8119
4.95,369.513,9.8868,-12.8318
5,362.4972,9.9864,-12.9172
5.05,367.8584,10.0868,-13.0217
5.1,365.5941,10.187,-13.0675
5.15,365.5878,10.2866,-13.0233
5.2,373.3883,10.3864,-13.0298
5.25,367.5549,10.4871,-13.1242
5.3,367.2439,10.5866,-13.1379
5.35,366.3942,10.6869,-13.1765
5.4,367.731,10.7861,-13.3313
5.45,368.9041,10.8867,-13.2995
5.5,369.2603,10.9867,-13.4076
5.55,373.6745,11.0866,-13.4806
5.6,372.2282,11.1867,-13.5211
5.65,367.855,11.2866,-13.4438
5.7,370.274,11.3867,-13.5124
5.75,368.3551,11.4871,-13.4673
5.8,372.7166,11.5865,-13.5427
5.85,373.0285,11.6867,-13.602
5.9,366.8272,11.7865,-13.6706
5.95,369.7315,11.8866,-13.7793
6,374.6261,11.9868,-13.6272
6.05,376.2719,12.0866,-13.7749
6.1,375.1187,12.1867,-13.7905
6.15,375.3279,12.2867,-13.9197
6.2,367.5507,12.3868,-13.9894
6.25,370.0533,12.4867,-13.9811
6.3,370.2621,12.5864,-13.9382
6.35,378.96,12.6864,-14.0474
6.4,377.465,12.7864,-14.061
6.45,381.6274,12.8868,-13.9677
6.5,376.9169,12.9866,-14.1391
6.55,376.3817,13.0866,-14.185
6.6,379.2264,13.1869,-14.1993
6.65,383.173,13.2867,-14.25
6.7,380.3129,13.3867,-14.3034
6.75,382.3203,13.4867,-14.3793
6.8,379.7397,13.5865,-14.3391
6.85,381.869,13.6865,-14.2932
6.9,381.0224,13.7867,-14.3566
6.95,385.7339,13.8867,-14.4346
7,385.902,13.9866,-14.4297
7.05,389.1954,14.0866,-14.498
7.1,382.8208,14.1866,-14.4318
7.15,379.739,14.2865,-14.5717
7.2,382.8981,14.386,-14.684
7.25,384.6301,14.4865,-14.569
7.3,389.2179,14.5862,-14.6855
7.35,384.7193,14.6865,-14.666
7.4,387.9236,14.7865,-14.8452
7.45,387.499,14.8865,-14.9077
7.5,384.379,14.987,-14.9372
7.55,381.6395,15.0866,-14.9267
7.6,391.4542,15.1865,-15.0399
7.65,390.539,15.2865,-14.9871
7.7,387.5434,15.3865,-15.0509
7.75,385.2176,15.4865,-15.1594
7.8,387.2876,15.5867,-15.0787
7.85,385.1616,15.6865,-15.1974
7.9,393.9982,15.7864,-15.1295
7.95,394.7889,15.8865,-15.2046
8,392.4336,15.9864,-15.248
8.05,386.4804,16.0864,-15.2191
8.1,388.0207,16.1857,-15.2647
8.15,392.0622,16.2865,-15.2789
8.2,394.9601,16.3864,-15.4365
8.25,403.4193,16.4865,-15.4474
8.3,405.7864,16.5865,-15.3991
8.35,404.3338,16.6864,-15.5304
8.4,399.8468,16.7868,-15.5912
8.45,403.246,16.8866,-15.5962
8.5,408.9964,16.9863,-15.6093
8.55,407.3386,17.0863,-15.8272
8.6,410.9133,17.1865,-15.6742
8.65,408.9727,17.2865,-15.7367
8.7,407.7598,17.3865,-15.7665
