Rotation,Torque
-45.2014,0.009
-45.3015,0.009
-45.4017,0.009
-45.502,0.009
-45.6026,0.009
-45.703,0.0077
-45.8041,0.0056
-45.9049,0.0039
-46.0051,0.0022
-46.1052,0.0008
-46.2056,-0.0004
-46.3056,-0.0015
-46.4061,-0.0026
-46.5068,-0.0038
-46.6074,-0.005
-46.7083,-0.0064
-46.8085,-0.0078
-46.9091,-0.0093
-47.0098,-0.0107
-47.1106,-0.0118
-47.2114,-0.013
-47.3115,-0.0147
-47.4117,-0.0164
-47.5119,-0.018
-47.6126,-0.0197
-47.713,-0.021
-47.8137,-0.0227
-47.9141,-0.0242
-48.0142,-0.0259
-48.1151,-0.0275
-48.2157,-0.0295
-48.3161,-0.0314
-48.4163,-0.0334
-48.5174,-0.0353
-48.6179,-0.0371
-48.7182,-0.0395
-48.8193,-0.041
-48.9198,-0.0426
-49.0203,-0.0451
-49.1212,-0.0473
-49.2216,-0.0495
-49.3217,-0.0518
-49.4223,-0.0541
-49.5228,-0.0565
-49.623,-0.0588
-49.7231,-0.061
-49.8234,-0.0634
-49.9244,-0.0658
-50.0249,-0.0681
-50.1258,-0.0706
-50.2267,-0.0731
-50.3271,-0.0757
-50.4277,-0.0781
-50.5282,-0.0805
-50.6287,-0.0827
-50.7299,-0.0856
-50.8302,-0.0883
-50.9302,-0.0907
-51.0304,-0.0932
-51.1307,-0.0957
-51.2309,-0.0983
-51.3314,-0.1008
-51.4317,-0.1034
-51.5327,-0.1061
-51.6336,-0.1088
-51.7342,-0.1113
-51.8344,-0.1139
-51.9349,-0.1166
-52.0354,-0.1193
-52.1361,-0.1221
-52.2361,-0.1248
-52.3366,-0.1275
-52.4374,-0.1301
-52.5383,-0.133
-52.6393,-0.1358
-52.7399,-0.1386
-52.8405,-0.1414
-52.9407,-0.1443
-53.0415,-0.1472
-53.1421,-0.15
-53.2427,-0.153
-53.3434,-0.156
-53.4436,-0.159
-53.5444,-0.1619
-53.6445,-0.1649
-53.7446,-0.1678
-53.8451,-0.1707
-53.9459,-0.1737
-54.0466,-0.1766
-54.147,-0.1795
-54.2477,-0.1824
-54.3481,-0.1853
-54.4485,-0.1882
-54.549,-0.1911
-54.6492,-0.1939
-54.7502,-0.1967
-54.8505,-0.1994
-54.9505,-0.2023
-55.051,-0.2051
-55.1519,-0.2075
-55.2529,-0.2106
-55.3531,-0.2136
-55.4537,-0.2165
-55.5548,-0.2195
-55.6556,-0.2224
-55.7563,-0.2252
-55.8565,-0.228
-55.9573,-0.2309
-56.0579,-0.2337
-56.1585,-0.2366
-56.2586,-0.2395
-56.359,-0.2425
-56.46,-0.2453
-56.56,-0.2475
-56.6603,-0.2503
-56.7606,-0.253
-56.8606,-0.2559
-56.9614,-0.2586
-57.0615,-0.2615
-57.1623,-0.2643
-57.2631,-0.2672
-57.3639,-0.2702
-57.4645,-0.2729
-57.5651,-0.2755
-57.6655,-0.2784
-57.766,-0.2815
-57.8663,-0.2845
-57.9665,-0.2874
-58.0668,-0.2903
-58.1671,-0.2933
-58.2671,-0.2962
-58.3673,-0.2991
-58.4674,-0.3019
-58.5675,-0.3048
-58.6677,-0.3076
-58.7685,-0.3103
-58.8694,-0.3131
-58.97,-0.316
-59.0703,-0.3187
-59.1708,-0.321
-59.2717,-0.324
-59.3724,-0.327
-59.4731,-0.3298
-59.5737,-0.3325
-59.6739,-0.3353
-59.7746,-0.3382
-59.8748,-0.341
-59.9756,-0.3438
-60.076,-0.3467
-60.1765,-0.3495
-60.2773,-0.3522
-60.3776,-0.355
-60.4785,-0.3578
-60.5792,-0.3606
-60.6795,-0.3633
-60.7797,-0.3661
-60.8806,-0.3688
-60.9811,-0.3715
-61.0815,-0.3741
-61.1824,-0.3768
-61.2831,-0.3797
-61.3834,-0.3823
-61.4838,-0.385
-61.5846,-0.3877
-61.6857,-0.3904
-61.7859,-0.3929
-61.8865,-0.3956
-61.9873,-0.3984
-62.0878,-0.401
-62.1885,-0.4035
-62.2887,-0.4061
-62.3895,-0.4086
-62.4895,-0.4111
-62.59,-0.4136
-62.6907,-0.4162
-62.791,-0.4188
-62.8916,-0.4214
-62.9916,-0.424
-63.0921,-0.4267
-63.1921,-0.4292
-63.2925,-0.4318
-63.3926,-0.4345
-63.4927,-0.4371
-63.5936,-0.4396
-63.6943,-0.4421
-63.7952,-0.4447
-63.8959,-0.4472
-63.9966,-0.4496
-64.0972,-0.4521
-64.1974,-0.4548
-64.2982,-0.4572
-64.3986,-0.4596
-64.4995,-0.4622
-64.5995,-0.4645
-64.6996,-0.4669
-64.7998,-0.4692
-64.8999,-0.4718
-65.0004,-0.4742
-65.0097,-0.4733
-45.2009,0.0099
-45.3016,0.0099
-45.4019,0.0099
-45.5023,0.0099
-45.6026,0.0098
-45.703,0.0086
-45.804,0.0064
-45.9049,0.0046
-46.0049,0.0029
-46.1053,0.0012
-46.2054,0.0001
-46.3055,-0.001
-46.4061,-0.002
-46.5069,-0.0033
-46.6076,-0.0047
-46.7084,-0.0062
-46.8086,-0.0073
-46.9092,-0.0087
-47.0098,-0.0099
-47.1106,-0.0114
-47.2109,-0.0124
-47.3119,-0.0138
-47.412,-0.015
-47.512,-0.0167
-47.6129,-0.0184
-47.7135,-0.0199
-47.8139,-0.0216
-47.9141,-0.0232
-48.0142,-0.0247
-48.1152,-0.0262
-48.2153,-0.0281
-48.3154,-0.0302
-48.4163,-0.0319
-48.5171,-0.0338
-48.6175,-0.0356
-48.7176,-0.0375
-48.8185,-0.0389
-48.9187,-0.0407
-49.0194,-0.0428
-49.1202,-0.045
-49.2204,-0.0471
-49.3208,-0.0493
-49.4217,-0.0516
-49.5221,-0.054
-49.6224,-0.0563
-49.7229,-0.0587
-49.8235,-0.0609
-49.9244,-0.0632
-50.0248,-0.0655
-50.1257,-0.068
-50.2263,-0.0706
-50.3265,-0.0732
-50.4274,-0.0758
-50.5278,-0.0783
-50.6281,-0.0807
-50.7283,-0.0835
-50.8292,-0.0862
-50.9295,-0.0889
-51.0304,-0.0916
-51.1305,-0.0942
-51.2309,-0.0967
-51.3315,-0.0994
-51.4321,-0.102
-51.5321,-0.1045
-51.6327,-0.1071
-51.7335,-0.1096
-51.8336,-0.1123
-51.9341,-0.1148
-52.0347,-0.1174
-52.1353,-0.1198
-52.2363,-0.1226
-52.3369,-0.1253
-52.4375,-0.1281
-52.5382,-0.1309
-52.6383,-0.1337
-52.7393,-0.1366
-52.8399,-0.1394
-52.9409,-0.1422
-53.0417,-0.1452
-53.1423,-0.148
-53.2432,-0.1509
-53.3437,-0.1537
-53.4441,-0.1566
-53.5441,-0.1595
-53.6448,-0.1625
-53.7449,-0.1654
-53.8454,-0.1682
-53.946,-0.1711
-54.0465,-0.174
-54.1472,-0.1769
-54.2481,-0.1798
-54.3484,-0.1827
-54.4486,-0.1856
-54.5491,-0.1884
-54.6493,-0.1912
-54.7493,-0.194
-54.8495,-0.195
-54.9497,-0.1987
-55.0503,-0.2018
-55.151,-0.2048
-55.2521,-0.2078
-55.3523,-0.2107
-55.4529,-0.2135
-55.5529,-0.2164
-55.6533,-0.2192
-55.7538,-0.222
-55.854,-0.2249
-55.9544,-0.2277
-56.0551,-0.2304
-56.1555,-0.2332
-56.2559,-0.236
-56.3569,-0.2387
-56.4572,-0.2416
-56.5577,-0.2444
-56.6586,-0.2473
-56.7596,-0.2502
-56.8598,-0.2531
-56.9598,-0.256
-57.0603,-0.2588
-57.161,-0.2617
-57.2615,-0.2645
-57.3623,-0.2674
-57.4626,-0.2702
-57.5631,-0.2728
-57.6639,-0.2751
-57.7641,-0.2782
-57.8651,-0.2812
-57.9655,-0.2842
-58.0659,-0.2871
-58.166,-0.29
-58.266,-0.293
-58.3667,-0.2958
-58.467,-0.2987
-58.5675,-0.3016
-58.6675,-0.3044
-58.7676,-0.3069
-58.8685,-0.3098
-58.9693,-0.3126
-59.0694,-0.3154
-59.1702,-0.3182
-59.2707,-0.3212
-59.3717,-0.3242
-59.4718,-0.3269
-59.5722,-0.3296
-59.673,-0.3325
-59.774,-0.3354
-59.874,-0.3382
-59.974,-0.3409
-60.0743,-0.3438
-60.1745,-0.3464
-60.2748,-0.3491
-60.3756,-0.3519
-60.4762,-0.3547
-60.5771,-0.3575
-60.6776,-0.3602
-60.7785,-0.3631
-60.8786,-0.3658
-60.9787,-0.3685
-61.0791,-0.3714
-61.1797,-0.3742
-61.2803,-0.3769
-61.381,-0.3796
-61.4811,-0.3823
-61.5816,-0.385
-61.6824,-0.3877
-61.7833,-0.3903
-61.8837,-0.393
-61.9842,-0.3956
-62.0851,-0.3981
-62.1852,-0.4007
-62.2863,-0.4034
-62.3873,-0.406
-62.488,-0.4086
-62.5884,-0.4113
-62.6886,-0.4139
-62.7893,-0.4165
-62.8899,-0.419
-62.9902,-0.4216
-63.0903,-0.4243
-63.1903,-0.4268
-63.2911,-0.4294
-63.3911,-0.4321
-63.4915,-0.4347
-63.5917,-0.4372
-63.6926,-0.4398
-63.793,-0.4424
-63.8937,-0.445
-63.9939,-0.4475
-64.0948,-0.45
-64.1957,-0.4527
-64.2966,-0.4552
-64.3974,-0.4578
-64.4976,-0.4604
-64.5977,-0.4629
-64.698,-0.4653
-64.7983,-0.4679
-64.8991,-0.4706
-64.9996,-0.4731
-65.0088,-0.4723
-45.2014,0.0104
-45.3019,0.0103
-45.4024,0.0103
-45.503,0.0103
-45.6039,0.0103
-45.704,0.009
-45.8049,0.0068
-45.9057,0.0049
-46.0066,0.0032
-46.1067,0.0015
-46.2072,-0.0001
-46.3075,-0.0009
-46.408,-0.002
-46.5082,-0.003
-46.6089,-0.0042
-46.7094,-0.0054
-46.8103,-0.0067
-46.9111,-0.0082
-47.012,-0.0096
-47.1125,-0.0105
-47.2125,-0.0116
-47.3128,-0.013
-47.413,-0.0144
-47.5131,-0.016
-47.614,-0.0177
-47.7148,-0.0193
-47.8152,-0.021
-47.9159,-0.0227
-48.0162,-0.0239
-48.1162,-0.0253
-48.2163,-0.0269
-48.317,-0.029
-48.4171,-0.0309
-48.518,-0.0327
-48.6188,-0.0345
-48.7196,-0.0364
-48.8205,-0.0385
-48.9208,-0.0406
-49.0209,-0.0424
-49.1218,-0.0447
-49.2223,-0.0468
-49.3228,-0.049
-49.4235,-0.0513
-49.5241,-0.0536
-49.6247,-0.056
-49.7251,-0.0583
-49.8259,-0.0606
-49.9265,-0.063
-50.0266,-0.0652
-50.1267,-0.0676
-50.2276,-0.0701
-50.3278,-0.0726
-50.4283,-0.075
-50.5289,-0.0772
-50.6294,-0.0799
-50.7297,-0.0826
-50.8298,-0.0852
-50.9301,-0.0878
-51.0306,-0.0904
-51.131,-0.093
-51.2318,-0.0957
-51.3326,-0.0984
-51.433,-0.101
-51.534,-0.1036
-51.6343,-0.1061
-51.7344,-0.1086
-51.8344,-0.111
-51.9349,-0.1137
-52.0355,-0.1162
-52.1362,-0.1187
-52.2363,-0.1213
-52.337,-0.124
-52.4374,-0.1267
-52.5384,-0.1295
-52.6395,-0.1323
-52.7396,-0.1351
-52.8402,-0.1379
-52.9409,-0.1407
-53.0415,-0.1436
-53.1417,-0.1464
-53.2421,-0.1493
-53.3426,-0.1523
-53.4427,-0.1551
-53.5432,-0.1581
-53.6436,-0.1611
-53.7436,-0.164
-53.8442,-0.1669
-53.9449,-0.1698
-54.0453,-0.1728
-54.1457,-0.1757
-54.2459,-0.1785
-54.3464,-0.1815
-54.4475,-0.1845
-54.5481,-0.1874
-54.6484,-0.1902
-54.7493,-0.193
-54.8496,-0.1958
-54.9496,-0.1987
-55.0501,-0.2015
-55.1509,-0.2044
-55.251,-0.2072
-55.3514,-0.2101
-55.452,-0.2129
-55.5529,-0.2158
-55.6531,-0.2176
-55.7539,-0.2207
-55.8547,-0.2234
-55.9551,-0.2262
-56.0559,-0.229
-56.1563,-0.2318
-56.2566,-0.2346
-56.3569,-0.2374
-56.4571,-0.2404
-56.5579,-0.2432
-56.6587,-0.2462
-56.7597,-0.2492
-56.8598,-0.252
-56.9606,-0.2545
-57.0617,-0.2573
-57.1622,-0.2603
-57.2623,-0.2632
-57.363,-0.2661
-57.4634,-0.2689
-57.5641,-0.2718
-57.6648,-0.2748
-57.7652,-0.2776
-57.8662,-0.2806
-57.9663,-0.2828
-58.0667,-0.286
-58.167,-0.2889
-58.2678,-0.2917
-58.3685,-0.2946
-58.4686,-0.2973
-58.5698,-0.3002
-58.6708,-0.3032
-58.7713,-0.306
-58.8722,-0.3087
-58.9723,-0.3116
-59.0732,-0.3144
-59.1734,-0.3173
-59.2738,-0.3202
-59.3739,-0.323
-59.4747,-0.3258
-59.5749,-0.3286
-59.6755,-0.3315
-59.7764,-0.3343
-59.8767,-0.3372
-59.9776,-0.3401
-60.0786,-0.3429
-60.1795,-0.3457
-60.28,-0.3484
-60.3804,-0.3512
-60.4806,-0.354
-60.5812,-0.3566
-60.6819,-0.3594
-60.7824,-0.3622
-60.8828,-0.3649
-60.9832,-0.3676
-61.0838,-0.3704
-61.1847,-0.3732
-61.2854,-0.3761
-61.3863,-0.3789
-61.4867,-0.3816
-61.5868,-0.3844
-61.6878,-0.3871
-61.7882,-0.3898
-61.8887,-0.3926
-61.9897,-0.3953
-62.0907,-0.3979
-62.1914,-0.4005
-62.2921,-0.4032
-62.393,-0.4059
-62.4938,-0.4085
-62.5938,-0.4111
-62.694,-0.4137
-62.7946,-0.4164
-62.8952,-0.4189
-62.9953,-0.4216
-63.0957,-0.4242
-63.1962,-0.4268
-63.297,-0.4293
-63.397,-0.432
-63.4971,-0.4345
-63.5976,-0.4371
-63.6979,-0.4396
-63.7988,-0.4422
-63.8993,-0.4448
-64.0002,-0.4473
-64.1009,-0.4499
-64.2017,-0.4525
-64.3023,-0.4551
-64.4025,-0.4576
-64.503,-0.4603
-64.6032,-0.4628
-64.7039,-0.4654
-64.8042,-0.4679
-64.9052,-0.4705
-65.0053,-0.473
-65.0088,-0.4722
-45.2008,0.0111
-45.3011,0.0111
-45.4015,0.0111
-45.5018,0.0111
-45.6023,0.0111
-45.7029,0.0097
-45.8037,0.0076
-45.9044,0.0056
-46.0045,0.0039
-46.1047,0.0022
-46.2051,0.0007
-46.3054,-0.0004
-46.4061,-0.0013
-46.507,-0.0024
-46.6078,-0.0034
-46.7086,-0.0048
-46.8086,-0.0062
-46.9087,-0.0076
-47.0097,-0.0092
-47.1104,-0.0108
-47.2109,-0.0116
-47.3118,-0.0126
-47.4119,-0.0139
-47.5122,-0.0154
-47.6124,-0.017
-47.7135,-0.0185
-47.8139,-0.02
-47.9142,-0.0216
-48.015,-0.0231
-48.116,-0.0245
-48.2161,-0.0262
-48.3169,-0.0281
-48.4169,-0.03
-48.5178,-0.0319
-48.6185,-0.0337
-48.7186,-0.0357
-48.8196,-0.0379
-48.9198,-0.0397
-49.0202,-0.0415
-49.1211,-0.0438
-49.2212,-0.046
-49.3216,-0.0483
-49.4225,-0.0506
-49.523,-0.053
-49.6233,-0.0553
-49.724,-0.0576
-49.8244,-0.0599
-49.9253,-0.0621
-50.0263,-0.0644
-50.1272,-0.0667
-50.2273,-0.0692
-50.3277,-0.0718
-50.4282,-0.0743
-50.5282,-0.0768
-50.6285,-0.079
-50.7293,-0.0817
-50.8303,-0.0843
-50.931,-0.0867
-51.0319,-0.0894
-51.1319,-0.0921
-51.2328,-0.0947
-51.3332,-0.0973
-51.4341,-0.0999
-51.5344,-0.1024
-51.6349,-0.1049
-51.7353,-0.1074
-51.8358,-0.1101
-51.9358,-0.1126
-52.0363,-0.1151
-52.1372,-0.1178
-52.2374,-0.1205
-52.3382,-0.1231
-52.4385,-0.1258
-52.5394,-0.1287
-52.6402,-0.1315
-52.7405,-0.1344
-52.8409,-0.1373
-52.941,-0.1402
-53.0417,-0.1431
-53.1424,-0.1459
-53.243,-0.1487
-53.3435,-0.1515
-53.4437,-0.1544
-53.5439,-0.1573
-53.6443,-0.1602
-53.7447,-0.1631
-53.8453,-0.1659
-53.9462,-0.1688
-54.0466,-0.1717
-54.1467,-0.1745
-54.2468,-0.1775
-54.3474,-0.1803
-54.4485,-0.1832
-54.549,-0.1861
-54.6493,-0.1889
-54.7501,-0.1918
-54.8507,-0.1946
-54.9516,-0.1975
-55.052,-0.2004
-55.1529,-0.203
-55.2538,-0.2059
-55.3541,-0.2088
-55.4544,-0.2117
-55.5545,-0.2145
-55.6554,-0.2174
-55.7557,-0.2201
-55.8565,-0.2228
-55.9573,-0.2257
-56.058,-0.2283
-56.1589,-0.2304
-56.2598,-0.2335
-56.3601,-0.2364
-56.461,-0.2391
-56.5618,-0.2419
-56.6625,-0.2448
-56.7631,-0.2471
-56.8638,-0.2502
-56.9645,-0.2532
-57.0652,-0.2562
-57.1662,-0.2591
-57.2668,-0.2621
-57.3677,-0.265
-57.4687,-0.2679
-57.5689,-0.2705
-57.6692,-0.2734
-57.7702,-0.2764
-57.8711,-0.2793
-57.9713,-0.2822
-58.0718,-0.2851
-58.1722,-0.288
-58.2722,-0.2908
-58.3731,-0.2937
-58.4732,-0.2964
-58.5742,-0.2991
-58.6751,-0.302
-58.7757,-0.3049
-58.8763,-0.3077
-58.9769,-0.3105
-59.0776,-0.3133
-59.1779,-0.3162
-59.2789,-0.3191
-59.3793,-0.322
-59.48,-0.3248
-59.5802,-0.3275
-59.6809,-0.3304
-59.7818,-0.3332
-59.8822,-0.336
-59.9828,-0.3389
-60.0832,-0.3417
-60.184,-0.3445
-60.284,-0.3473
-60.3847,-0.3501
-60.4854,-0.3528
-60.5861,-0.3556
-60.687,-0.3583
-60.7871,-0.3611
-60.8873,-0.3639
-60.988,-0.3667
-61.0883,-0.3694
-61.189,-0.3722
-61.29,-0.375
-61.3901,-0.3776
-61.4905,-0.3805
-61.5911,-0.3832
-61.6919,-0.3858
-61.7926,-0.3885
-61.8927,-0.3912
-61.9932,-0.3939
-62.0934,-0.3965
-62.1939,-0.3992
-62.2945,-0.402
-62.3949,-0.4047
-62.4955,-0.4073
-62.5962,-0.4099
-62.6972,-0.4127
-62.7977,-0.4154
-62.8978,-0.4179
-62.9981,-0.4206
-63.0989,-0.4232
-63.1994,-0.4258
-63.2996,-0.4284
-63.4,-0.4311
-63.5004,-0.4336
-63.6006,-0.4361
-63.7014,-0.4387
-63.8015,-0.4414
-63.9022,-0.4439
-64.0026,-0.4465
-64.1034,-0.4491
-64.2034,-0.4517
-64.3039,-0.4542
-64.404,-0.4568
-64.505,-0.4595
-64.6053,-0.462
-64.7057,-0.4646
-64.8059,-0.4671
-64.9066,-0.4697
-65.0066,-0.472
-65.0097,-0.4712
-45.2007,0.0108
-45.3011,0.0108
-45.4013,0.0107
-45.5018,0.0107
-45.6025,0.0107
-45.7029,0.0094
-45.804,0.0072
-45.904,0.0052
-46.0044,0.0036
-46.1047,0.0019
-46.2051,0.0006
-46.3054,-0.0005
-46.4062,-0.0015
-46.5068,-0.0026
-46.6078,-0.0036
-46.7081,-0.0049
-46.8087,-0.0064
-46.9095,-0.0078
-47.0095,-0.0092
-47.1097,-0.0105
-47.2106,-0.0116
-47.3117,-0.0123
-47.4122,-0.0136
-47.5122,-0.0151
-47.6122,-0.0167
-47.7125,-0.0184
-47.8129,-0.0201
-47.9132,-0.0217
-48.0138,-0.0231
-48.1145,-0.0244
-48.2148,-0.026
-48.3152,-0.028
-48.416,-0.0301
-48.5169,-0.0319
-48.6176,-0.0337
-48.7185,-0.0356
-48.8194,-0.0376
-48.9196,-0.0395
-49.0202,-0.0416
-49.1203,-0.0436
-49.2212,-0.0458
-49.3217,-0.048
-49.4217,-0.0501
-49.522,-0.0524
-49.6222,-0.0547
-49.7229,-0.057
-49.8234,-0.0594
-49.9242,-0.0617
-50.025,-0.0641
-50.1252,-0.0664
-50.2252,-0.0688
-50.3255,-0.0714
-50.4261,-0.0739
-50.5265,-0.0764
-50.6271,-0.079
-50.7278,-0.0813
-50.8286,-0.0839
-50.9287,-0.0864
-51.029,-0.089
-51.1292,-0.0914
-51.2296,-0.0941
-51.3305,-0.0967
-51.4307,-0.0993
-51.5311,-0.1019
-51.6313,-0.1045
-51.7318,-0.1071
-51.8325,-0.1097
-51.9331,-0.1122
-52.0339,-0.1147
-52.1341,-0.1173
-52.2349,-0.12
-52.3352,-0.1226
-52.4352,-0.1254
-52.536,-0.1281
