Rotation,Torque
-45.2013,0.0029
-45.3017,0.0029
-45.4023,0.0029
-45.503,0.0029
-45.6035,0.0029
-45.7039,0.002
-45.804,0.0004
-45.9049,-0.0006
-46.0051,-0.0013
-46.1055,-0.0018
-46.2058,-0.0024
-46.3058,-0.003
-46.406,-0.0036
-46.5068,-0.0042
-46.6073,-0.0048
-46.7082,-0.0054
-46.8085,-0.0059
-46.9091,-0.0064
-47.0094,-0.0068
-47.1102,-0.0074
-47.2105,-0.008
-47.3107,-0.0085
-47.4112,-0.009
-47.5121,-0.0096
-47.6123,-0.0102
-47.7133,-0.0107
-47.8136,-0.0113
-47.9138,-0.0118
-48.0148,-0.0124
-48.1156,-0.0129
-48.2159,-0.0135
-48.3167,-0.014
-48.4169,-0.0146
-48.518,-0.0152
-48.6181,-0.0158
-48.7186,-0.0165
-48.8195,-0.0171
-48.92,-0.0176
-49.0202,-0.0182
-49.1212,-0.0188
-49.2214,-0.0192
-49.3218,-0.0198
-49.4224,-0.0204
-49.5232,-0.0209
-49.6235,-0.0214
-49.7242,-0.022
-49.8244,-0.0226
-49.9245,-0.0232
-50.0252,-0.0237
-50.1256,-0.0242
-50.2264,-0.0249
-50.3267,-0.0254
-50.4274,-0.026
-50.528,-0.0266
-50.6281,-0.0271
-50.7289,-0.0277
-50.8298,-0.0283
-50.9303,-0.0288
-51.0307,-0.0294
-51.1309,-0.0299
-51.2318,-0.0305
-51.3326,-0.031
-51.4335,-0.0316
-51.5336,-0.0321
-51.634,-0.0327
-51.7345,-0.0333
-51.8351,-0.0339
-51.9351,-0.0344
-52.0356,-0.035
-52.1364,-0.0356
-52.2375,-0.036
-52.3378,-0.0365
-52.4381,-0.0371
-52.5386,-0.0377
-52.6388,-0.0382
-52.7394,-0.0388
-52.84,-0.0394
-52.9405,-0.04
-53.0412,-0.0405
-53.1417,-0.0411
-53.2421,-0.0417
-53.3425,-0.0422
-53.4425,-0.0428
-53.5433,-0.0434
-53.6443,-0.044
-53.7446,-0.0445
-53.8446,-0.0451
-53.9451,-0.0457
-54.0456,-0.0462
-54.1459,-0.0467
-54.2468,-0.0473
-54.3475,-0.0479
-54.4476,-0.0485
-54.5478,-0.049
-54.6482,-0.0495
-54.749,-0.0501
-54.8491,-0.0506
-54.9495,-0.0512
-55.0497,-0.0517
-55.1498,-0.0523
-55.2508,-0.0528
-55.3513,-0.0533
-55.4522,-0.0539
-55.5523,-0.0544
-55.6527,-0.0549
-55.7529,-0.0554
-55.8531,-0.0559
-55.9533,-0.0565
-56.0539,-0.057
-56.1546,-0.0577
-56.2556,-0.0583
-56.356,-0.0588
-56.4569,-0.0594
-56.5574,-0.0599
-56.658,-0.0601
-56.7585,-0.0607
-56.8587,-0.0613
-56.9589,-0.062
-57.0592,-0.0626
-57.1597,-0.0631
-57.2603,-0.0636
-57.361,-0.0641
-57.4612,-0.0646
-57.5613,-0.0651
-57.6618,-0.0656
-57.7625,-0.0662
-57.8634,-0.0667
-57.9638,-0.0673
-58.0646,-0.0678
-58.1648,-0.0683
-58.2657,-0.0687
-58.3665,-0.0691
-58.4674,-0.0697
-58.5675,-0.0704
-58.6686,-0.0709
-58.7689,-0.0715
-58.8695,-0.0722
-58.9698,-0.0728
-59.0705,-0.0732
-59.1705,-0.0737
-59.2708,-0.0742
-59.3718,-0.0744
-59.4727,-0.075
-59.5733,-0.0755
-59.6734,-0.0761
-59.7739,-0.0766
-59.8743,-0.0772
-59.9744,-0.0777
-60.0751,-0.0784
-60.1753,-0.0789
-60.2755,-0.0795
-60.3756,-0.0801
-60.4759,-0.0807
-60.5761,-0.081
-60.6768,-0.0815
-60.7771,-0.0821
-60.8781,-0.0825
-60.9788,-0.0831
-61.0789,-0.0836
-61.1793,-0.0841
-61.2798,-0.0846
-61.3798,-0.0851
-61.4802,-0.0858
-61.5811,-0.0863
-61.6813,-0.0868
-61.782,-0.0872
-61.8828,-0.0878
-61.9833,-0.0883
-62.0841,-0.0888
-62.1842,-0.0894
-62.285,-0.0899
-62.3854,-0.0904
-62.4863,-0.0908
-62.587,-0.0914
-62.6875,-0.0919
-62.788,-0.0923
-62.8884,-0.0927
-62.9893,-0.0934
-63.0898,-0.094
-63.1906,-0.0942
-63.291,-0.0949
-63.3916,-0.0954
-63.4922,-0.0958
-63.5926,-0.0964
-63.6927,-0.0968
-63.7938,-0.0974
-63.8944,-0.0979
-63.9946,-0.0985
-64.0954,-0.0991
-64.1962,-0.0997
-64.2966,-0.1002
-64.3969,-0.1006
-64.4972,-0.0999
-64.5973,-0.1008
-64.6977,-0.1013
-64.7981,-0.1017
-64.8989,-0.1024
-64.9992,-0.103
-65.0088,-0.1028
-45.2013,0.0034
-45.3017,0.0034
-45.4021,0.0034
-45.5028,0.0034
-45.6035,0.0034
-45.7039,0.0025
-45.8042,0.0009
-45.9045,-0.0002
-46.0049,-0.001
-46.1054,-0.0017
-46.2062,-0.0022
-46.3072,-0.0027
-46.4078,-0.0032
-46.5088,-0.0039
-46.6096,-0.0046
-46.7102,-0.0052
-46.811,-0.0058
-46.9111,-0.0062
-47.0116,-0.0068
-47.1124,-0.0074
-47.2133,-0.0081
-47.3138,-0.0087
-47.4144,-0.0092
-47.5146,-0.0097
-47.6147,-0.0101
-47.7157,-0.0106
-47.8159,-0.0112
-47.9167,-0.0117
-48.0169,-0.0123
-48.1177,-0.0129
-48.2178,-0.0135
-48.3182,-0.0141
-48.4191,-0.0147
-48.5201,-0.0152
-48.6206,-0.0158
-48.7212,-0.0164
-48.8221,-0.017
-48.923,-0.0175
-49.0236,-0.0181
-49.124,-0.0187
-49.2245,-0.0193
-49.3248,-0.0198
-49.4249,-0.0204
-49.5251,-0.021
-49.6258,-0.0215
-49.7261,-0.0221
-49.8269,-0.0227
-49.9277,-0.0233
-50.0285,-0.0238
-50.1293,-0.0244
-50.2301,-0.0249
-50.331,-0.0254
-50.4316,-0.026
-50.5323,-0.0266
-50.633,-0.0271
-50.7338,-0.0277
-50.8348,-0.0282
-50.9353,-0.0288
-51.0358,-0.0293
-51.1361,-0.0299
-51.2371,-0.0305
-51.3375,-0.031
-51.4382,-0.0315
-51.5389,-0.0321
-51.6392,-0.0326
-51.7395,-0.0332
-51.8403,-0.0337
-51.9412,-0.0343
-52.0414,-0.0349
-52.1422,-0.0355
-52.2432,-0.0361
-52.3437,-0.0365
-52.4441,-0.0371
-52.5445,-0.0376
-52.6454,-0.0381
-52.7458,-0.0387
-52.8461,-0.0393
-52.9471,-0.0399
-53.0474,-0.0405
-53.1477,-0.041
-53.2479,-0.0415
-53.348,-0.0421
-53.4486,-0.0426
-53.5492,-0.0431
-53.6492,-0.0437
-53.7499,-0.0442
-53.8505,-0.0448
-53.9512,-0.0455
-54.0522,-0.046
-54.1525,-0.0466
-54.2525,-0.0471
-54.3531,-0.0477
-54.4541,-0.0483
-54.5544,-0.049
-54.6547,-0.0496
-54.755,-0.0501
-54.8559,-0.0506
-54.9566,-0.0511
-55.0573,-0.0515
-55.1578,-0.0522
